,index,ms_subclass,ms_zoning,street,land_contour,lot_config,neighborhood,condition_1,condition_2,bldg_type,house_style,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,foundation,heating,central_air,garage_type,sale_type,saleprice
23,23,20,RL,Pave,Lvl,Inside,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,PConc,GasA,Y,Attchd,WD ,185000
24,24,190,RL,Pave,Bnk,Inside,Gilbert,Norm,Norm,2fmCon,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,N,Attchd,WD ,145000
25,25,20,RL,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,Attchd,WD ,187500
26,26,20,RL,Pave,Lvl,Inside,Sawyer,RRAe,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Detchd,WD ,138500
27,27,50,RL,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,CBlock,GasA,Y,Detchd,WD ,198000
28,28,190,C (all),Pave,Lvl,Inside,IDOTRR,Feedr,Norm,2fmCon,2Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,N,None,WD ,119600
29,29,50,RL,Pave,Lvl,Corner,NAmes,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Detchd,WD ,122900
30,30,20,RL,Pave,Lvl,Inside,NWAmes,PosN,Norm,1Fam,1Story,Hip,WdShngl,BrkFace,BrkFace,None,PConc,GasA,Y,Attchd,WD ,278000
31,31,70,RL,Pave,HLS,Corner,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,None,PConc,GasA,Y,Detchd,WD ,230000
32,32,120,RL,Pave,Lvl,CulDSac,Veenker,Norm,Norm,TwnhsE,1Story,Hip,CompShg,BrkFace,BrkFace,None,PConc,GasA,Y,Attchd,WD ,270000
33,33,20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Detchd,WD ,125000
34,34,20,RL,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,WD ,297000
35,35,20,RL,Pave,HLS,Inside,NAmes,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Basment,WD ,113500
36,36,160,RM,Pave,Lvl,Inside,MeadowV,Norm,Norm,TwnhsE,2Story,Gable,CompShg,CemntBd,CmentBd,None,PConc,GasA,Y,Attchd,WD ,127000
37,37,20,RL,Pave,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,Attchd,COD,190000
38,38,20,RL,Pave,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Attchd,WD ,175500
39,39,20,RL,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Detchd,WD ,146000
40,40,20,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,Attchd,WD ,147500
41,41,20,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,New,465000
42,42,85,RL,Pave,Lvl,Corner,Mitchel,Norm,Norm,1Fam,SFoyer,Gable,CompShg,Plywood,Plywood,BrkFace,PConc,GasA,Y,Attchd,WD ,165500
43,43,50,RM,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkFace,BrkTil,GasA,N,Attchd,WD ,131500
44,44,20,RL,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,Detchd,WD ,129500
45,45,70,RL,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,Stone,PConc,GasA,Y,Detchd,WD ,257076
46,46,50,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Detchd,WD ,117000
47,47,70,RL,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Stucco,Wd Shng,None,BrkTil,GasA,Y,Attchd,WD ,149000
48,48,20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,Stone,CBlock,GasA,Y,Attchd,WD ,128000
49,49,160,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,Wd Shng,Stone,PConc,GasA,Y,BuiltIn,WD ,155000
50,50,160,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Detchd,WD ,166000
51,51,50,RL,Pave,Lvl,Inside,SWISU,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Plywood,None,BrkTil,GasA,Y,Detchd,WD ,135000
52,52,60,RL,Pave,Lvl,Inside,NWAmes,RRAn,Norm,1Fam,2Story,Gable,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,Attchd,WD ,250000
53,53,160,RM,Pave,Lvl,Inside,MeadowV,Norm,Norm,Twnhs,2Story,Gable,CompShg,CemntBd,CmentBd,None,CBlock,GasA,Y,None,WD ,76000
54,54,20,RL,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Attchd,WD ,155000
55,55,60,RL,Pave,Lvl,Corner,Sawyer,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,Stone,CBlock,GasA,Y,Attchd,WD ,158000
56,56,160,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,Detchd,WD ,149500
57,57,20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Attchd,WD ,121000
58,58,20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Attchd,WD ,136000
59,59,60,RL,Pave,Lvl,Corner,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,HdBoard,HdBoard,None,PConc,GasA,Y,Attchd,WD ,173000
60,60,60,RL,Pave,Lvl,CulDSac,NoRidge,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD ,290000
61,61,60,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,CemntBd,CmentBd,None,PConc,GasA,Y,BuiltIn,New,303477
62,62,20,RL,Pave,Low,Inside,ClearCr,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Attchd,WD ,270000
63,63,50,RM,Pave,Lvl,Corner,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,WdShing,Wd Shng,None,BrkTil,GasA,N,Detchd,WD ,122250
64,64,20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,AsbShng,AsbShng,None,CBlock,GasA,Y,Attchd,WD ,153000
65,65,20,RL,Pave,Lvl,Inside,Mitchel,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,None,New,147000
66,66,70,RL,Pave,Lvl,Inside,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,Detchd,WD ,148500
67,67,160,RM,Pave,Lvl,Inside,Edwards,Norm,Norm,TwnhsE,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Detchd,WD ,130000
68,68,20,RL,Pave,HLS,Corner,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,MetalSd,MetalSd,Stone,PConc,GasA,Y,Attchd,WD ,372000
69,69,120,RL,Pave,Lvl,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD ,213490
70,70,20,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,Con,308030
71,71,20,RL,Pave,Lvl,Inside,Mitchel,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Attchd,WD ,300000
72,72,20,RL,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,BrkFace,BrkFace,None,CBlock,GasA,Y,BuiltIn,WD ,159500
73,73,160,RM,Pave,Lvl,Inside,Edwards,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Detchd,WD ,137500
74,74,20,RL,Pave,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD ,232000
75,75,30,RM,Grvl,Lvl,Inside,IDOTRR,RRNe,Norm,1Fam,1Story,Gable,CompShg,Stucco,Wd Shng,None,BrkTil,GasA,Y,Detchd,WD ,93850
76,76,30,RL,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,Stone,BrkTil,GasA,N,Detchd,WD ,105000
77,77,30,RM,Pave,Lvl,Inside,BrkSide,Feedr,RRNn,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,N,Detchd,WD ,68500
78,78,90,RL,Pave,Lvl,Corner,NAmes,Feedr,Norm,Duplex,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,CBlock,GasA,Y,Detchd,WD ,154300
79,79,50,RM,Pave,Lvl,Inside,IDOTRR,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,BrkTil,GasA,Y,None,WD ,129850
80,80,70,RM,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,MetalSd,MetalSd,None,BrkTil,GasA,Y,Detchd,WD ,114000
81,81,20,RL,Pave,Lvl,CulDSac,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,New,501837
82,82,50,RM,Pave,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,Detchd,WD ,153900
83,83,20,RL,Pave,Lvl,FR2,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,Detchd,WD ,130000
84,84,120,RM,Pave,Lvl,FR2,Mitchel,Norm,Norm,TwnhsE,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD ,160500
85,85,120,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Attchd,New,310090
86,86,20,RL,Pave,Lvl,Inside,SawyerW,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD ,184900
87,87,20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Attchd,WD ,132000
88,88,20,RL,Pave,Lvl,Inside,NWAmes,Feedr,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Attchd,WD ,163000
89,89,160,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Detchd,ConLD,155000
90,90,80,RL,Pave,Lvl,Inside,NWAmes,Norm,Norm,1Fam,SLvl,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,Attchd,WD ,183000
91,91,60,RL,Pave,Lvl,Corner,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD ,211000
92,92,60,RL,Pave,Lvl,Inside,SawyerW,RRAe,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD ,184000
93,93,90,RL,Pave,Bnk,Inside,SawyerW,Norm,Norm,Duplex,1Story,Gable,CompShg,HdBoard,HdBoard,None,Slab,GasA,Y,Attchd,WD ,118858
94,94,80,RL,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,SLvl,Hip,CompShg,Wd Sdng,HdBoard,BrkFace,PConc,GasA,Y,Attchd,WD ,180500
95,95,120,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,New,166000
96,96,80,RL,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,SLvl,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Attchd,COD,148000
97,97,20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Detchd,WD ,124000
98,98,120,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Attchd,WD ,277500
99,99,60,RL,Pave,Lvl,Inside,NoRidge,Norm,Norm,1Fam,2Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD ,350000
100,100,20,RL,Pave,HLS,CulDSac,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,Attchd,WD ,387000
101,101,30,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,None,WD ,86000
102,102,20,RL,Pave,Lvl,Inside,Veenker,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,Attchd,WD ,290000
103,103,30,C (all),Pave,Lvl,Corner,IDOTRR,Norm,Norm,1Fam,1Story,Mansard,CompShg,AsbShng,AsbShng,None,CBlock,GasA,N,None,WD ,44000
104,104,60,RL,Pave,Lvl,CulDSac,Mitchel,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,BuiltIn,WD ,215000
105,105,190,RL,Pave,Lvl,Corner,NWAmes,RRAn,Feedr,2fmCon,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,Attchd,WD ,146500
106,106,160,FV,Pave,Lvl,FR2,Somerst,Norm,Norm,Twnhs,2Story,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,Detchd,WD ,165000
107,107,50,RM,Pave,Lvl,Inside,OldTown,Artery,Norm,1Fam,1.5Fin,Gable,CompShg,Stucco,Stucco,None,BrkTil,GasW,N,Detchd,CWD,136000
108,108,20,RL,Pave,Low,CulDSac,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,Stone,CBlock,GasA,Y,Attchd,WD ,252000
109,109,160,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,Wd Shng,Stone,PConc,GasA,Y,BuiltIn,WD ,175500
110,110,70,RM,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,Detchd,WD ,150000
111,111,20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,Attchd,WD ,139900
112,112,50,RM,Pave,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,MetalSd,MetalSd,None,PConc,GasA,Y,Detchd,WD ,162900
113,113,20,RL,Pave,Lvl,Corner,NAmes,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Attchd,WD ,160000
114,114,20,RL,Pave,Lvl,Corner,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,Slab,GasA,N,None,WD ,63900
115,115,20,RL,Pave,Lvl,Inside,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,PConc,GasA,Y,Attchd,WD ,184000
116,116,20,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,BrkFace,CBlock,GasA,Y,Attchd,WD ,149900
117,117,120,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,PConc,GasA,Y,Attchd,WD ,300000
118,118,190,RL,Pave,Lvl,Corner,ClearCr,Norm,Norm,1Fam,1Story,Flat,Tar&Grv,Plywood,Plywood,Stone,CBlock,GasA,Y,Basment,WD ,145000
119,119,60,RL,Pave,Lvl,Inside,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD ,231500
120,120,30,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,None,CBlock,GasA,Y,None,WD ,108000
121,121,20,RL,Pave,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,BrkFace,None,CBlock,GasA,Y,Attchd,COD,120000
122,122,20,RL,Pave,Lvl,Inside,Sawyer,Norm,Norm,1Fam,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Detchd,WD ,128500
123,123,30,RM,Pave,Lvl,Inside,OldTown,Artery,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,None,CBlock,GasA,Y,Detchd,WD ,115000
124,124,50,RM,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,AsbShng,AsbShng,None,CBlock,GasA,Y,Detchd,WD ,110000
125,125,60,RL,Pave,Lvl,CulDSac,Veenker,Norm,Norm,1Fam,2Story,Mansard,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,Attchd,WD ,150000
126,126,60,RL,Pave,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD ,178000
127,127,70,RL,Pave,HLS,Inside,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,2Types,WD ,199500
128,128,60,RL,Pave,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD ,183500
129,129,80,RM,Pave,Lvl,Inside,IDOTRR,Norm,Norm,1Fam,SLvl,Hip,CompShg,HdBoard,Plywood,None,CBlock,GasA,Y,Attchd,WD ,126000
130,130,120,RL,Pave,Lvl,Inside,NPkVill,Norm,Norm,Twnhs,1Story,Gable,CompShg,Plywood,Brk Cmn,None,CBlock,GasA,Y,Attchd,WD ,148500
131,131,60,RL,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,BrkTil,GasA,Y,Detchd,WD ,149000
132,132,160,RL,Pave,Lvl,Inside,NPkVill,Norm,Norm,Twnhs,2Story,Gable,CompShg,Plywood,Brk Cmn,None,CBlock,GasA,Y,Attchd,WD ,137900
133,133,120,RL,Pave,Lvl,CulDSac,Veenker,Norm,Norm,TwnhsE,1Story,Gable,CompShg,BrkFace,BrkFace,None,PConc,GasA,Y,Attchd,Con,324000
134,134,30,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,Stucco,Stucco,None,CBlock,GasA,N,None,WD ,98000
135,135,160,RM,Pave,Lvl,Inside,BrDale,Norm,Norm,Twnhs,2Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,Detchd,WD ,103400
136,136,50,RL,Pave,Lvl,Inside,Sawyer,Feedr,Norm,1Fam,1.5Fin,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,N,None,WD ,94000
137,137,120,RL,Pave,Lvl,Inside,NridgHt,Norm,Norm,Twnhs,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,Attchd,WD ,209500
138,138,60,RL,Pave,HLS,CulDSac,StoneBr,Norm,Norm,1Fam,2Story,Hip,CompShg,CemntBd,CmentBd,BrkFace,PConc,GasA,Y,BuiltIn,New,545224
139,139,70,RM,Pave,Lvl,Inside,OldTown,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,Y,None,WD ,159900
140,140,20,RL,Pave,Lvl,Corner,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,Detchd,WD ,141000
141,141,60,RL,Pave,Lvl,Inside,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,Attchd,WD ,215000
142,142,20,RL,Pave,Lvl,Corner,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,CBlock,GasA,Y,Detchd,WD ,127000
143,143,20,RL,Pave,Lvl,Inside,Edwards,Norm,Norm,1Fam,1Story,Gable,CompShg,WdShing,Wd Shng,None,CBlock,GasA,Y,Attchd,WD ,128000
144,144,20,FV,Pave,Lvl,Inside,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,CemntBd,CmentBd,None,PConc,GasA,Y,Attchd,New,267916
145,145,50,RM,Pave,Lvl,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,Detchd,WD ,127500
146,146,85,RL,Pave,Lvl,Corner,Edwards,Norm,Norm,1Fam,SFoyer,Gable,CompShg,HdBoard,HdBoard,BrkFace,Slab,GasA,Y,BuiltIn,ConLD,198500
