lot_shape,utilities,land_slope,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating_qc,electrical,kitchen_qual,functional,garage_finish,garage_qual,garage_cond,paved_drive,overall_qual,overall_cond,saleprice
1,10,3,3,4,4,4,2,8,4,5,5,3,10,2,3,3,5,5,8,138500
2,10,2,3,3,4,4,2,4,2,5,5,4,6,2,3,3,5,5,6,198000
1,10,3,3,4,4,4,2,2,2,2,5,3,10,1,1,1,1,5,6,119600
1,10,3,3,4,4,4,3,2,2,5,5,3,10,2,3,3,5,5,7,122900
1,10,3,4,3,5,4,2,6,2,3,5,4,10,5,3,3,5,8,5,278000
2,10,2,3,3,5,4,2,2,2,2,5,4,10,2,3,3,5,8,7,230000
2,10,3,4,4,5,5,4,2,8,5,5,5,10,5,3,3,5,8,5,270000
1,10,3,3,3,4,4,2,6,2,3,5,3,10,2,3,3,1,6,6,125000
1,10,3,4,3,6,4,5,8,2,5,5,4,10,3,3,3,5,8,5,297000
2,10,2,3,3,5,4,5,2,2,2,5,3,10,3,3,3,5,6,6,113500
1,10,3,3,3,4,4,2,6,3,5,5,3,10,3,3,3,5,5,6,127000
2,10,3,3,3,5,4,2,4,2,5,5,3,10,3,3,3,5,6,6,190000
1,10,3,3,3,4,4,2,6,2,2,5,3,10,2,3,3,5,7,6,175500
3,10,3,3,4,5,5,2,8,2,5,5,3,10,2,3,3,5,5,7,146000
1,10,3,4,3,4,4,2,4,2,4,5,3,10,5,3,3,5,5,6,147500
1,10,3,5,3,6,5,5,8,2,5,5,5,10,5,3,3,5,10,5,465000
2,10,3,3,4,5,4,4,8,2,5,5,4,10,5,3,3,5,5,6,165500
1,10,3,3,3,4,4,2,2,2,5,3,3,10,2,2,3,5,5,5,131500
1,10,3,3,3,4,4,2,3,2,5,5,3,10,2,3,3,5,5,5,129500
2,10,2,3,3,4,3,2,2,2,3,5,3,10,5,2,3,5,8,6,257076
1,10,3,3,3,4,4,2,2,4,5,5,3,6,2,3,3,5,5,5,117000
1,10,2,3,2,5,4,2,2,2,3,5,3,10,3,3,3,2,7,6,149000
1,10,3,3,3,4,4,2,3,2,3,5,3,10,3,3,3,5,5,5,128000
1,10,3,4,3,5,4,2,2,2,5,5,4,10,3,3,3,5,7,5,155000
1,10,3,4,3,5,4,2,8,2,5,5,4,10,2,3,3,5,6,5,166000
1,10,3,3,3,4,4,2,4,2,3,5,4,6,2,3,3,5,4,3,135000
2,10,3,3,3,5,4,2,4,2,3,5,4,10,3,3,3,5,7,5,250000
1,10,3,3,3,4,4,2,8,2,5,5,3,10,1,1,1,5,4,7,76000
1,10,3,3,3,4,4,2,2,2,3,5,4,10,2,3,3,5,6,6,155000
1,10,3,3,3,4,4,2,6,2,3,5,3,10,5,3,3,5,6,7,158000
1,10,3,4,3,5,4,2,8,6,5,5,4,10,3,3,3,5,7,5,149500
1,10,3,3,4,4,4,2,4,2,3,4,3,10,2,3,3,5,5,6,121000
1,10,3,3,3,4,4,2,3,6,3,3,3,10,5,3,3,5,6,7,136000
3,10,3,3,3,5,4,2,3,2,4,5,3,10,5,3,3,5,6,5,173000
2,10,3,4,3,5,4,2,8,2,5,5,4,10,5,3,3,5,8,7,290000
1,10,3,4,3,5,4,4,8,2,5,5,5,10,5,3,3,5,8,5,303477
2,10,2,4,4,5,4,5,6,2,4,5,3,10,3,3,3,5,7,7,270000
1,10,3,2,2,4,4,2,3,2,4,4,5,10,2,2,2,1,5,5,122250
1,10,3,3,3,4,4,2,3,2,4,4,4,10,2,3,3,5,5,5,153000
1,10,3,3,3,5,4,2,6,2,5,5,3,10,1,1,1,5,5,5,147000
1,10,3,3,3,5,4,2,8,2,3,5,3,10,2,3,3,5,7,8,148500
1,10,3,4,3,5,4,2,2,2,5,5,4,4,2,3,3,5,7,5,130000
2,10,2,5,3,6,4,5,2,2,5,5,5,10,5,3,3,5,9,5,372000
1,10,3,4,3,5,4,5,8,2,5,5,4,10,5,3,3,5,7,5,213490
3,10,3,4,3,5,4,5,8,2,5,5,4,10,3,3,3,5,7,5,308030
3,10,3,4,3,6,4,3,8,2,5,5,4,10,5,3,3,5,7,5,300000
1,10,3,3,3,4,4,3,6,2,5,5,3,10,5,3,3,5,6,6,159500
1,10,3,4,3,5,4,2,2,2,5,5,4,4,2,3,3,5,7,5,137500
1,10,3,4,3,5,4,4,2,2,5,5,4,10,3,3,3,5,7,5,232000
2,10,3,4,4,4,4,2,2,2,3,5,3,10,2,3,3,1,6,6,93850
1,10,3,3,3,4,4,2,2,2,2,3,2,5,2,2,2,1,5,5,105000
2,10,3,3,3,4,4,2,2,2,2,5,2,10,2,2,3,5,4,6,68500
1,10,3,3,3,4,4,2,3,2,3,4,3,10,2,3,3,5,5,5,154300
1,10,3,4,4,4,2,2,2,2,5,5,3,10,1,1,1,1,5,7,129850
1,10,3,3,3,4,4,2,4,2,5,5,3,10,2,2,2,5,5,7,114000
2,10,3,5,3,6,4,2,8,2,5,5,5,10,5,3,3,5,9,5,501837
2,10,3,3,3,4,4,3,2,2,4,5,3,10,2,3,3,5,5,8,153900
1,10,3,3,4,4,4,2,6,2,4,5,3,10,2,3,3,5,4,7,130000
1,10,3,3,3,6,4,2,8,2,5,5,3,10,3,3,3,5,6,5,160500
1,10,3,5,3,6,5,2,8,2,5,5,4,10,3,3,3,5,9,5,310090
1,10,3,4,3,5,4,2,8,2,5,5,4,10,3,3,3,5,7,5,184900
1,10,3,3,3,5,4,2,3,2,3,5,3,10,2,3,3,5,5,7,132000
1,10,3,3,3,5,4,3,6,3,3,5,3,10,3,3,3,5,5,5,163000
1,10,3,4,3,5,4,4,8,2,5,5,4,10,3,3,3,5,7,5,155000
2,10,3,3,3,4,4,4,8,2,4,5,3,10,3,3,3,5,6,6,183000
4,10,3,4,3,5,4,3,8,2,5,5,4,6,3,3,3,5,7,5,211000
1,10,3,4,3,5,4,2,2,8,5,5,4,10,3,3,3,5,7,5,184000
1,10,3,3,3,1,1,1,1,1,3,5,3,10,2,3,3,5,5,5,118858
2,10,3,3,3,4,4,4,8,2,3,5,3,10,3,3,3,5,5,7,180500
2,10,3,4,3,5,4,2,8,2,5,5,4,10,5,3,3,5,8,5,166000
1,10,3,3,3,4,4,4,4,2,5,5,3,10,3,3,3,5,6,5,148000
2,10,3,3,3,4,4,2,3,2,4,5,4,7,2,3,3,5,5,5,124000
1,10,3,5,3,6,4,2,8,2,5,5,5,10,5,3,3,5,9,5,277500
2,10,3,4,3,5,4,2,6,2,5,5,4,10,3,3,3,5,8,5,350000
2,10,3,5,3,6,4,5,8,2,5,5,5,10,5,3,3,5,9,5,387000
2,10,3,3,3,4,4,3,6,2,5,5,3,10,1,1,1,1,4,7,86000
1,10,3,5,5,5,6,3,8,3,5,5,5,10,3,3,3,5,8,9,290000
1,10,3,3,2,3,4,2,2,2,3,5,3,10,1,1,1,1,3,3,44000
2,10,3,3,3,6,4,2,6,2,5,5,4,10,5,3,3,5,6,5,215000
2,10,3,3,3,5,4,2,8,2,5,5,3,10,5,3,3,5,5,6,146500
1,10,3,4,3,5,4,2,8,2,5,5,4,10,2,3,3,5,7,5,165000
1,10,3,3,4,4,4,2,3,2,3,5,4,10,2,3,3,5,6,7,136000
2,10,1,3,3,5,4,5,6,2,5,5,5,7,2,3,3,5,6,6,252000
1,10,3,4,3,5,4,2,2,2,5,5,4,10,3,3,3,5,7,5,175500
1,10,3,3,3,4,4,2,6,2,3,4,3,10,2,3,3,5,5,6,150000
2,10,3,3,3,4,4,2,2,2,3,5,3,7,3,3,3,5,5,5,139900
1,10,3,3,3,4,4,2,2,2,3,5,3,10,2,3,3,2,5,7,162900
2,10,3,3,3,4,4,2,2,2,3,5,3,10,2,3,3,5,6,6,160000
1,10,3,3,3,1,1,1,1,1,2,5,2,6,1,1,1,1,2,2,63900
1,10,3,3,3,4,4,2,6,2,4,5,3,10,5,3,3,5,6,5,184000
1,10,3,3,3,4,4,2,4,2,3,5,2,10,5,3,3,5,5,4,149900
2,10,3,4,3,5,4,4,8,2,5,5,5,10,5,3,3,5,9,5,300000
1,10,3,3,3,4,4,3,3,2,4,5,3,5,2,3,3,5,5,3,145000
2,10,3,3,3,5,4,2,8,2,5,5,4,10,3,3,3,5,6,5,231500
1,10,3,3,3,4,4,2,4,2,5,5,3,10,1,1,1,5,5,6,108000
1,10,3,3,3,4,4,2,3,4,3,5,3,10,3,3,3,5,5,5,120000
2,10,3,3,3,4,4,2,3,2,3,5,3,10,2,3,3,5,5,5,128500
1,10,3,3,3,4,4,2,2,2,4,4,3,10,2,3,3,5,5,6,115000
1,10,3,3,3,4,4,2,2,2,3,5,3,10,2,3,3,5,5,7,110000
2,10,3,4,4,5,4,2,8,2,3,5,4,10,3,3,3,5,9,3,150000
2,10,3,4,3,6,5,4,2,2,5,5,4,10,5,3,3,5,8,5,178000
2,10,3,3,3,4,4,2,2,2,5,5,4,10,2,3,3,5,7,7,199500
2,10,3,3,3,4,4,2,8,2,5,5,3,10,5,3,3,5,6,5,183500
1,10,3,2,3,5,4,3,3,2,5,5,3,5,2,3,3,5,5,5,126000
1,10,3,3,3,5,4,2,6,2,2,5,3,10,2,3,3,5,7,6,148500
1,10,3,3,4,4,4,2,2,2,5,5,4,10,2,3,3,5,5,7,149000
1,10,3,3,3,5,4,2,6,2,3,5,3,10,2,3,3,5,6,5,137900
2,10,3,4,3,5,4,5,8,2,5,5,4,10,5,3,3,5,8,5,324000
1,10,3,3,3,4,4,2,3,2,3,4,3,10,1,1,1,5,5,6,98000
1,10,3,3,3,4,4,2,2,2,3,5,3,10,2,3,3,5,6,5,103400
1,10,3,3,4,4,4,2,2,2,4,5,3,10,1,1,1,1,5,8,94000
1,10,3,4,3,5,5,3,8,2,5,5,4,10,3,3,3,5,8,5,209500
2,10,3,5,3,6,4,5,2,2,5,5,5,10,5,3,3,5,10,5,545224
1,10,3,4,4,4,4,2,2,2,5,5,4,10,1,1,1,1,6,8,159900
1,10,3,3,3,4,4,2,2,2,5,5,3,10,2,3,3,5,4,5,141000
2,10,3,3,3,5,4,2,6,2,5,5,3,10,5,3,3,5,6,5,215000
2,10,3,3,4,4,4,2,6,2,5,5,3,10,2,3,3,5,5,8,127000
1,10,3,3,3,4,4,4,4,2,3,5,3,10,5,3,3,5,5,7,128000
2,10,3,4,3,6,2,2,8,2,5,5,4,10,3,3,3,5,8,5,267916
1,10,3,3,3,4,3,2,2,2,3,4,3,10,2,3,3,5,6,6,127500
1,10,3,4,3,1,1,1,1,1,5,5,4,10,3,3,3,5,7,5,198500
2,10,3,3,4,5,4,2,8,2,3,5,4,10,5,3,3,5,6,6,175500
1,10,3,4,3,5,4,2,8,2,5,5,4,10,5,3,3,5,7,5,217500
1,10,3,3,2,4,4,2,2,2,5,5,3,10,2,3,3,5,4,5,149500
1,10,3,4,3,4,4,2,4,2,5,5,3,10,3,3,3,5,5,7,148800
2,10,3,4,3,6,4,4,8,2,5,5,5,10,5,3,3,5,9,5,556581
1,10,3,3,3,4,4,2,6,3,4,5,3,10,3,3,3,5,6,3,156500
1,10,3,4,4,5,5,4,8,2,5,5,4,10,3,3,3,5,7,5,237000
2,10,3,3,3,4,4,2,4,2,2,5,3,10,5,3,3,5,5,7,120000
2,10,3,3,3,5,4,4,8,2,5,5,4,10,5,3,3,5,6,5,203000
2,10,3,3,3,5,4,2,2,2,3,5,3,10,3,3,3,5,8,5,130000
1,10,2,3,3,4,4,5,8,2,3,5,3,10,3,3,3,5,6,6,167900
1,10,3,3,3,4,4,4,6,2,3,5,3,10,2,3,3,5,4,5,129000
2,10,3,3,3,4,4,2,4,2,3,5,4,7,2,3,3,5,5,6,134450
1,10,3,3,4,4,4,2,2,2,5,5,4,10,2,3,3,1,5,7,112000
2,10,3,4,3,5,4,2,8,2,5,5,4,10,3,3,3,5,7,5,207000
1,10,3,3,3,4,3,2,2,2,3,5,3,2,1,1,1,5,5,1,62500
1,10,3,4,3,5,4,2,8,2,5,5,4,10,3,3,3,5,7,5,154000
2,10,3,3,3,4,4,2,8,2,3,4,3,10,2,3,3,5,5,7,129900
1,10,3,3,3,5,4,2,3,4,3,5,3,10,2,3,3,5,5,3,85000
1,10,3,3,3,4,4,2,2,2,3,5,3,10,2,3,3,5,7,7,116900
1,10,3,3,3,4,4,2,6,2,3,5,3,10,2,3,3,5,6,6,148500
1,10,3,3,2,5,4,2,4,2,2,4,2,10,2,3,3,5,4,4,80000
2,10,3,3,3,5,4,4,2,6,3,5,3,10,2,3,3,5,5,5,152000
1,10,3,3,4,3,4,2,2,2,5,5,3,10,2,3,3,5,5,6,155891
1,10,3,3,4,4,4,2,2,2,5,5,4,10,2,3,3,2,6,7,165000
1,10,3,4,3,5,4,2,2,2,5,5,4,10,3,3,3,5,7,5,204500
1,10,3,3,3,4,4,2,2,2,5,5,4,10,2,3,3,5,5,7,146500
2,10,3,3,3,5,4,2,6,2,3,5,3,10,3,3,3,5,7,5,157000
1,10,3,3,3,4,4,3,2,2,4,5,3,10,2,3,2,5,7,7,184000
2,10,3,4,3,5,4,2,8,2,5,5,4,10,5,3,3,5,6,5,183200
1,10,3,3,3,4,4,2,2,4,3,5,3,10,2,3,3,5,5,5,139000
1,10,3,4,3,5,4,5,8,2,5,5,4,10,3,3,3,5,7,5,341000
1,10,3,3,3,4,4,2,3,2,3,5,3,10,2,3,3,5,6,5,96000
1,10,3,3,3,5,4,2,2,2,5,5,3,10,3,3,3,5,4,5,140000
1,10,3,3,3,4,4,2,8,2,3,4,3,10,2,3,3,5,6,7,149700
1,10,3,3,3,5,4,2,6,2,5,5,3,10,3,3,3,5,5,6,153500
1,10,2,2,1,1,1,1,1,1,1,4,2,1,2,2,1,1,1,5,13100
1,10,3,4,3,5,4,2,8,2,5,5,4,10,3,3,3,5,7,5,224900
1,10,3,4,3,5,4,2,2,2,5,5,4,10,2,3,3,5,7,5,176000
1,10,3,4,3,5,4,2,8,2,5,5,4,10,5,3,3,5,8,5,285000
2,10,3,4,3,5,4,5,8,2,5,5,4,10,2,3,3,5,8,5,282922
1,10,3,3,3,4,4,2,3,2,5,5,4,10,5,3,3,5,7,6,226000
2,10,3,5,3,6,5,2,2,2,5,5,5,10,5,3,3,5,8,5,361919
2,10,3,4,5,6,4,5,8,2,5,5,5,10,5,3,3,5,9,5,457347
2,10,1,4,3,5,5,5,2,8,5,5,4,10,5,3,3,5,8,6,279000
2,10,2,3,3,4,4,5,6,2,3,5,4,10,3,3,3,5,6,5,196000
1,10,3,3,3,5,4,2,2,2,3,5,3,10,3,3,3,5,7,5,152000
1,10,3,3,3,4,4,2,2,2,3,5,3,10,2,3,3,5,5,5,200000
1,10,3,4,3,6,4,5,8,2,5,5,5,10,5,3,3,5,8,5,294900
1,10,3,4,3,5,4,2,2,2,5,5,4,10,3,3,3,5,7,5,224243
1,10,3,3,2,3,3,2,2,2,3,3,3,10,2,3,3,1,6,3,92000
2,10,3,4,3,5,4,4,2,2,5,5,4,10,5,3,3,5,7,5,179540
1,10,3,5,3,6,4,5,8,2,5,5,5,10,5,3,3,5,10,5,386250
1,10,3,3,3,5,4,4,8,2,3,5,3,10,5,3,3,5,4,5,106500
1,10,3,5,3,6,4,4,8,2,5,5,5,10,5,3,3,5,10,5,310000
1,10,3,4,3,5,4,2,2,2,5,5,4,10,5,3,3,5,7,5,252000
1,10,3,3,4,4,4,2,3,2,4,5,3,10,2,3,3,5,7,5,164000
1,10,3,4,3,5,4,2,2,2,5,5,4,10,5,3,3,5,7,5,177594
1,10,3,3,3,4,3,2,3,2,4,5,3,10,5,3,3,2,5,7,123900
2,10,3,3,3,5,4,2,4,2,3,4,3,10,2,3,3,1,6,6,239000
1,10,3,3,3,4,4,2,3,2,3,5,3,10,2,3,3,5,5,5,169000
1,10,3,4,3,5,4,5,2,2,5,5,4,10,5,3,3,5,7,5,234000
1,10,3,3,3,5,4,4,8,2,3,5,3,10,3,3,3,5,6,7,173000
2,10,3,3,3,4,4,2,6,2,5,5,3,10,5,3,3,5,6,7,149000
1,10,3,4,3,5,4,3,2,2,5,5,4,10,5,3,3,5,7,5,170000
2,10,3,4,3,6,4,2,2,2,5,5,4,10,5,3,3,5,7,5,225000
1,10,3,3,4,4,4,2,8,2,5,5,4,10,5,3,3,5,5,8,144900
2,10,3,3,3,5,4,5,6,2,3,5,3,10,3,3,3,5,5,6,144000
1,10,3,4,3,5,4,2,8,2,5,5,4,10,5,3,3,5,8,5,192000
1,10,3,4,3,4,4,2,8,2,4,5,4,10,2,3,3,5,5,8,145500
1,10,3,3,4,3,3,2,2,2,5,5,2,10,2,2,3,5,4,8,86900
1,10,3,3,3,4,4,2,4,2,5,5,3,10,3,3,3,5,6,4,149500
1,10,3,3,4,3,3,2,2,2,5,5,2,10,2,2,3,5,5,7,119750
1,10,3,3,3,5,4,2,2,2,5,5,4,10,3,3,3,5,6,5,173900
2,10,3,3,3,4,4,2,3,2,3,5,3,10,2,3,3,5,5,6,136500
2,10,3,4,3,5,4,2,2,2,5,5,4,10,5,3,3,5,8,5,270000
1,10,3,3,3,5,4,5,4,6,4,5,3,10,3,3,3,5,6,7,235000
1,10,3,3,3,5,4,2,2,2,5,5,3,10,3,3,3,5,7,5,156000
1,10,3,3,3,5,4,2,8,2,5,5,4,10,2,3,3,5,5,5,153000
1,10,3,3,3,6,4,2,8,2,5,5,3,10,5,3,3,5,6,5,165000
2,10,3,4,3,5,5,2,2,2,5,5,5,10,5,3,3,5,9,5,325000
2,10,3,3,3,4,3,2,2,2,5,5,3,10,2,3,3,5,5,5,140000
1,10,3,3,3,4,4,2,4,2,2,5,3,10,2,3,3,5,6,6,202500
1,10,3,5,3,6,4,2,8,2,5,5,5,10,5,3,3,5,9,5,367294
1,10,3,4,3,5,4,4,8,2,5,5,4,10,3,3,3,5,6,5,175000
2,10,3,3,3,4,5,2,6,2,4,5,4,10,2,3,3,5,7,5,140000
1,10,3,3,3,5,4,2,6,4,4,5,4,10,2,3,3,5,7,7,174000
2,10,3,4,3,5,4,5,8,2,5,5,4,10,5,3,3,5,7,5,190000
1,10,3,4,3,4,4,2,2,2,5,5,3,10,1,1,1,1,5,8,129000
1,10,3,3,4,4,4,3,6,2,4,5,4,10,3,3,3,5,6,7,200000
1,10,3,3,4,5,4,2,3,2,3,5,4,10,5,3,3,5,6,6,193500
1,10,3,3,3,5,4,2,3,2,5,5,3,10,3,3,4,5,6,7,145000
2,10,3,4,4,4,4,2,6,2,5,4,3,10,2,3,3,5,7,7,218000
1,10,3,3,3,1,1,1,1,1,4,5,3,10,3,3,3,5,5,6,135000
1,10,3,3,4,4,4,3,2,2,5,5,3,7,3,3,3,5,5,6,146500
2,10,3,4,3,5,4,4,6,2,5,5,4,10,3,3,3,5,6,5,194700
1,10,3,4,3,5,4,2,8,2,5,5,4,10,5,3,3,5,7,5,230348
1,10,3,3,3,3,3,2,6,2,3,5,3,10,2,3,3,5,6,5,109500
2,10,2,3,3,5,4,5,8,2,3,5,2,10,5,3,3,5,6,6,242500
2,10,3,4,4,5,5,2,8,3,4,5,4,10,3,4,3,5,7,7,239000
1,10,3,3,4,4,4,2,6,2,5,5,4,10,3,3,3,5,6,8,156000
2,10,3,3,3,4,4,2,3,2,5,5,3,10,2,3,3,5,4,6,109008
1,10,3,3,3,1,1,1,1,1,5,5,3,3,2,3,2,1,2,4,68104
2,10,3,4,3,5,4,4,2,2,5,5,4,10,3,3,3,5,8,7,290000
1,10,3,3,3,5,4,2,4,2,4,5,3,10,3,3,3,5,5,5,159000
2,10,2,3,3,4,4,2,3,2,3,5,3,10,2,2,3,5,4,7,87000
1,10,3,4,3,5,4,4,8,2,5,5,4,10,3,3,3,5,8,5,272000
1,10,3,4,3,5,4,3,8,2,5,5,4,10,2,3,3,5,7,5,198000
1,10,3,3,4,4,4,2,2,2,4,4,3,5,2,3,3,5,4,6,119164
1,10,3,3,3,1,1,1,1,1,4,5,3,6,1,1,1,1,5,5,93000
2,10,3,4,3,5,4,4,8,2,5,5,3,10,3,3,3,5,7,5,226750
2,10,2,3,3,3,4,3,4,2,3,5,3,10,2,2,2,5,3,5,95000
1,10,3,3,3,4,4,2,3,2,3,5,3,10,2,3,3,2,6,7,139900
2,10,3,3,1,4,4,2,2,2,5,5,2,5,1,1,1,5,3,2,76500
1,10,3,4,3,4,4,2,2,2,4,5,3,10,2,3,3,1,4,7,86900
2,10,3,3,4,4,4,2,6,2,5,5,4,10,2,3,3,5,5,6,152500
1,10,2,3,3,5,4,2,3,2,3,5,3,10,3,3,3,5,4,5,99000
1,10,3,2,3,4,4,2,2,2,4,5,2,10,1,1,1,5,4,7,82500
1,10,3,4,3,5,4,2,8,2,4,5,4,10,3,3,3,5,6,5,179200
1,10,3,3,3,4,4,2,6,2,4,5,3,10,5,3,3,5,5,6,142500
1,10,3,3,3,4,4,2,3,2,3,5,3,10,2,3,3,1,4,3,115400
1,10,3,4,3,5,4,2,8,2,5,5,4,10,5,3,3,5,7,5,226000
1,10,3,4,3,5,4,2,2,2,5,5,4,10,3,3,3,5,7,5,144152
2,10,3,4,3,6,4,5,2,2,5,5,4,10,5,3,3,5,8,5,370000
1,10,3,3,3,5,4,3,3,8,3,5,4,10,2,3,3,5,5,7,149900
2,10,3,4,3,5,4,2,2,2,4,5,3,10,3,3,3,5,6,5,172785
1,10,3,3,3,4,4,2,6,4,4,5,4,10,3,3,3,5,5,8,129000
2,10,3,3,4,5,3,2,2,2,3,5,3,10,2,3,3,5,6,5,181000
1,10,3,3,3,4,4,4,4,3,5,5,3,10,3,3,3,5,5,6,148000
1,10,3,3,3,5,4,4,8,6,5,5,4,10,1,1,1,1,6,5,117250
1,10,3,4,3,5,4,4,8,2,5,5,4,10,5,3,3,5,7,5,192500
1,10,3,3,4,5,4,2,2,8,3,5,3,10,5,3,3,5,6,6,151000
1,10,3,3,3,4,4,2,2,3,3,5,3,10,2,3,3,5,5,5,112500
2,10,3,3,2,4,4,2,4,2,3,5,3,4,2,3,3,5,5,5,144000
2,10,3,5,3,6,4,2,8,2,5,5,5,10,3,3,3,5,9,5,370967
1,10,3,3,3,4,4,2,6,2,3,5,4,10,2,3,3,5,6,6,149900
2,10,3,4,3,5,4,2,2,2,5,5,4,10,3,3,3,5,7,5,195000
2,10,3,3,3,5,4,2,2,2,4,5,4,10,5,3,3,5,7,5,163900
1,10,3,3,3,5,4,2,4,2,5,5,3,10,5,3,3,5,6,5,182000
2,10,3,5,3,6,4,5,8,2,5,5,5,10,5,3,3,5,9,5,410000
1,10,3,3,3,5,4,2,4,2,3,5,3,10,2,3,3,5,5,5,152000
1,10,3,4,3,5,4,2,2,2,5,5,4,10,5,3,3,5,7,5,184000
1,10,3,3,4,5,5,5,8,2,5,5,3,10,5,3,3,5,7,5,206300
2,10,3,3,3,4,4,2,4,2,3,5,3,10,2,3,3,5,5,5,146500
1,10,3,3,3,4,4,2,2,2,3,4,3,10,2,3,3,5,4,5,108000
2,10,3,3,3,4,4,2,2,2,4,5,4,10,3,3,3,5,7,6,170000
1,10,3,4,3,5,4,3,8,2,5,5,4,10,3,3,3,5,6,5,145000
1,10,3,3,3,5,4,2,6,2,3,5,3,10,3,3,3,5,7,5,123000
1,10,3,3,3,5,4,3,8,2,5,5,4,10,2,3,3,5,6,5,173000
1,10,3,3,4,4,4,2,2,2,4,5,3,10,2,3,3,5,6,8,105900
1,10,3,3,3,5,4,5,8,2,3,5,3,10,2,3,3,5,4,5,91000
1,10,3,3,3,4,4,2,4,3,2,5,2,3,2,3,3,5,5,7,158000
2,10,3,4,3,5,4,2,2,2,5,5,4,10,3,3,3,5,7,5,190000
3,10,3,4,3,5,4,5,2,8,5,5,4,10,5,3,3,5,8,5,217500
1,10,3,3,3,4,4,2,6,2,4,4,3,10,5,3,3,5,5,5,165500
1,10,3,3,3,4,4,2,3,2,5,5,2,10,2,3,3,5,7,7,174500
1,10,2,3,3,6,4,4,2,2,4,4,3,10,2,3,3,5,4,6,100000
2,10,3,3,3,4,4,2,6,2,3,5,4,10,2,3,3,5,6,6,172000
1,10,3,3,3,4,4,2,4,3,3,5,3,10,2,3,3,5,5,6,120000
1,10,3,2,2,4,3,2,2,2,4,5,3,10,2,3,3,1,4,4,82000
1,10,3,3,3,4,4,2,2,2,5,4,3,10,2,3,3,5,6,6,127000
1,10,3,3,3,5,4,2,3,2,2,5,3,10,2,2,2,2,6,5,129500
2,10,3,4,3,5,4,4,8,2,4,5,4,10,3,3,3,5,8,5,187500
3,10,3,4,3,6,4,5,8,2,5,5,4,10,3,3,3,5,8,5,300000
2,10,3,3,3,4,4,2,3,2,4,5,3,10,3,3,3,5,6,5,190000
1,10,3,2,2,4,3,2,2,2,2,5,3,10,2,2,3,2,4,5,96000
1,10,3,4,3,5,4,2,8,2,5,5,4,10,5,3,3,5,7,5,241000
2,10,3,3,4,4,4,2,2,2,3,5,3,6,3,3,3,5,5,5,143900
1,10,3,3,3,4,4,2,3,2,3,5,3,10,2,3,3,5,4,5,87550
1,10,3,5,3,6,4,2,8,2,5,5,5,10,3,3,3,5,9,5,319900
2,10,3,4,3,6,5,5,8,2,5,5,4,10,5,3,3,5,9,5,356383
2,10,3,4,3,6,4,2,2,2,5,5,5,10,5,3,3,5,9,5,239000
