,bedroom_abvgr,year_remod/add,overall_cond,house_style,garage_cars,lot_area,neighborhood,bldg_type,total_sf,total_bath,saleprice
22,3,2006,5,2Story,2.0,12867,NridgHt,1Fam,3462.0,2.5,344133
23,3,2007,7,1Story,2.0,7980,Gilbert,1Fam,2355.0,2.0,185000
24,3,1955,5,1Story,2.0,34650,Gilbert,2fmCon,2112.0,1.0,145000
25,3,1961,6,1Story,2.0,10573,NAmes,1Fam,2906.0,2.0,187500
26,3,2009,8,1Story,1.0,8450,Sawyer,1Fam,1788.0,1.0,138500
27,4,1995,6,1.5Fin,1.0,11700,Crawfor,1Fam,2880.0,2.0,198000
28,4,2006,6,2Story,0.0,8250,IDOTRR,2fmCon,2948.0,2.0,119600
29,3,2006,7,1.5Fin,2.0,8064,NAmes,1Fam,1596.0,1.0,122900
30,4,1981,5,1Story,2.0,9600,NWAmes,1Fam,5048.0,2.5,278000
31,3,1950,7,2Story,2.0,11435,Crawfor,1Fam,2309.0,1.0,230000
32,2,1996,5,1Story,2.0,9549,Veenker,TwnhsE,2988.0,1.5,270000
33,2,1952,6,1Story,2.0,10950,NAmes,1Fam,1896.0,1.0,125000
34,3,2008,5,1Story,3.0,10637,CollgCr,1Fam,3423.0,2.0,297000
35,2,1958,6,1Story,1.0,9000,NAmes,1Fam,1302.0,1.0,113500
36,4,1977,6,2Story,1.0,2665,MeadowV,TwnhsE,2232.0,2.0,127000
37,3,1977,6,1Story,2.0,11751,NWAmes,1Fam,3688.0,2.0,190000
38,3,1973,6,1Story,2.0,9600,NWAmes,1Fam,2484.0,1.5,175500
39,3,1994,7,1Story,1.0,8428,CollgCr,1Fam,1980.0,1.0,146000
40,3,1965,6,1Story,1.0,9937,Edwards,1Fam,2512.0,1.5,147500
41,2,2006,5,1Story,3.0,13891,NridgHt,1Fam,4152.0,2.5,465000
42,1,1978,6,SFoyer,2.0,9101,Mitchel,1Fam,2207.0,1.0,165500
43,4,1954,5,1.5Fin,1.0,12150,OldTown,1Fam,2845.0,2.0,131500
44,3,1965,5,1Story,1.0,11200,Sawyer,1Fam,2080.0,1.0,129500
45,4,1950,6,2Story,2.0,9670,Crawfor,1Fam,2481.0,1.5,257076
46,3,1960,5,1.5Fin,2.0,10998,Edwards,1Fam,2588.0,2.0,117000
47,3,2000,6,2Story,1.0,7200,Crawfor,1Fam,2278.0,1.5,149000
48,3,1954,5,1Story,1.0,9920,NAmes,1Fam,2119.0,1.0,128000
49,2,2004,5,2Story,2.0,2448,NridgHt,Twnhs,2390.0,2.5,155000
50,2,2000,5,2Story,2.0,2998,Somerst,TwnhsE,2280.0,2.5,166000
51,4,1950,3,1.5Fin,2.0,7804,SWISU,1Fam,3103.0,2.0,135000
52,5,1978,5,2Story,2.0,16692,NWAmes,1Fam,4176.0,3.5,250000
53,3,1970,7,2Story,0.0,1476,MeadowV,Twnhs,1638.0,1.5,76000
54,2,1951,6,1Story,2.0,10170,NAmes,1Fam,1791.0,1.5,155000
55,4,1969,7,2Story,1.0,9364,Sawyer,1Fam,2015.0,1.5,158000
56,2,2005,5,2Story,2.0,2544,Somerst,Twnhs,1800.0,2.5,149500
57,2,1975,6,1Story,1.0,9888,NAmes,1Fam,1872.0,1.0,121000
58,3,1953,7,1Story,1.0,7942,NAmes,1Fam,2080.0,1.0,136000
59,3,1996,5,2Story,2.0,15038,Gilbert,1Fam,2552.0,2.5,173000
60,4,2007,7,2Story,3.0,11764,NoRidge,1Fam,3422.0,2.5,290000
61,4,2007,5,2Story,2.0,9000,Somerst,1Fam,3794.0,2.5,303477
62,1,2001,7,1Story,2.0,20062,ClearCr,1Fam,2903.0,1.5,270000
63,2,1950,5,1.5Fin,1.0,7308,OldTown,1Fam,2676.0,1.0,122250
64,3,1955,5,1Story,1.0,8750,NAmes,1Fam,2764.0,1.0,153000
65,3,2007,5,1Story,0.0,8402,Mitchel,1Fam,2240.0,1.0,147000
66,2,1995,8,2Story,1.0,4000,Crawfor,1Fam,1629.0,1.0,148500
67,3,2004,5,2Story,2.0,3363,Edwards,TwnhsE,2684.0,2.0,130000
68,3,2006,5,1Story,3.0,13615,NridgHt,1Fam,3604.0,2.5,372000
69,2,2005,5,1Story,2.0,3013,Blmngtn,TwnhsE,2868.0,2.0,213490
70,1,2010,5,1Story,2.0,17485,Edwards,1Fam,3016.0,1.0,308030
71,3,1997,5,1Story,3.0,23730,Mitchel,1Fam,3872.0,3.0,300000
72,3,1959,6,1Story,2.0,8910,NAmes,1Fam,1849.0,1.0,159500
73,3,2004,5,2Story,2.0,2522,Edwards,Twnhs,2679.0,2.0,137500
74,3,2005,5,1Story,3.0,8688,Somerst,1Fam,3232.0,2.0,232000
75,1,1950,6,1Story,2.0,6291,IDOTRR,1Fam,1536.0,1.0,93850
76,2,1950,5,1Story,1.0,17529,Sawyer,1Fam,1744.0,1.0,105000
77,1,1950,6,1Story,1.0,6324,BrkSide,1Fam,1040.0,1.0,68500
78,5,1960,5,2Story,2.0,11600,NAmes,Duplex,3379.0,2.0,154300
79,3,2003,7,1.5Fin,0.0,7288,IDOTRR,1Fam,2537.0,2.0,129850
80,3,1950,7,2Story,2.0,4571,OldTown,1Fam,1848.0,1.0,114000
81,1,2009,5,1Story,3.0,17423,StoneBr,1Fam,4450.0,2.0,501837
82,4,1950,8,1.5Fin,3.0,12665,OldTown,1Fam,2292.0,1.5,153900
83,3,2006,7,1Story,2.0,9000,NAmes,1Fam,1728.0,1.0,130000
84,2,1997,5,1Story,2.0,4500,Mitchel,TwnhsE,2378.0,2.0,160500
85,2,2006,5,1Story,2.0,6373,NridgHt,TwnhsE,3332.0,2.0,310090
86,2,2003,5,1Story,2.0,10083,SawyerW,1Fam,2376.0,2.0,184900
87,2,2000,7,1Story,1.0,13300,NAmes,1Fam,1856.0,1.0,132000
88,3,1969,5,1Story,2.0,9600,NWAmes,1Fam,2624.0,2.0,163000
89,2,2004,5,2Story,2.0,3215,Somerst,TwnhsE,1800.0,2.5,155000
90,4,1969,6,SLvl,2.0,11104,NWAmes,1Fam,2854.0,2.0,183000
91,3,2002,5,2Story,2.0,15295,CollgCr,1Fam,2852.0,2.5,211000
92,3,1994,5,2Story,2.0,9109,SawyerW,1Fam,2294.0,2.5,184000
93,4,1979,5,1Story,2.0,7018,SawyerW,Duplex,1535.0,2.0,118858
94,3,1964,7,SLvl,2.0,14112,NAmes,1Fam,2304.0,1.0,180500
95,2,2007,5,1Story,2.0,3523,Somerst,TwnhsE,2292.0,2.0,166000
96,3,1960,5,SLvl,2.0,15312,Sawyer,1Fam,2276.0,1.0,148000
97,2,1956,5,1Story,2.0,7450,NAmes,1Fam,1968.0,1.0,124000
98,2,2005,5,1Story,2.0,7313,NridgHt,TwnhsE,3122.0,2.0,277500
99,4,1995,5,2Story,3.0,10019,NoRidge,1Fam,4068.0,2.5,350000
100,2,2004,5,1Story,3.0,15401,StoneBr,1Fam,3768.0,2.0,387000
101,2,2002,7,1Story,0.0,9098,Edwards,1Fam,1133.0,1.0,86000
102,3,2007,9,1Story,2.0,16280,Veenker,1Fam,3097.0,3.0,290000
103,2,1950,3,1Story,0.0,9392,IDOTRR,1Fam,1042.0,1.0,44000
104,3,2002,5,2Story,2.0,12209,Mitchel,1Fam,2765.0,2.5,215000
105,2,1972,6,1Story,2.0,13110,NWAmes,2fmCon,2346.0,2.0,146500
106,3,2000,5,2Story,2.0,2651,Somerst,Twnhs,2055.0,2.5,165000
107,5,1950,7,1.5Fin,1.0,8520,OldTown,1Fam,3240.0,2.0,136000
108,1,1957,6,1Story,2.0,39384,NAmes,1Fam,3095.0,1.5,252000
109,2,2003,5,2Story,2.0,2628,NridgHt,Twnhs,2390.0,2.5,175500
110,3,1950,6,2Story,2.0,6406,OldTown,1Fam,2248.0,1.5,150000
111,3,1978,5,1Story,1.0,12342,NAmes,1Fam,2400.0,1.0,139900
112,3,1992,7,1.5Fin,2.0,6240,BrkSide,1Fam,2651.0,2.0,162900
113,3,1962,6,1Story,2.0,10000,NAmes,1Fam,2232.0,1.5,160000
114,2,1950,2,1Story,0.0,9000,Sawyer,1Fam,660.0,1.0,63900
115,3,1998,5,1Story,2.0,11088,NWAmes,1Fam,2847.0,2.0,184000
116,3,1959,4,1Story,2.0,17755,Edwards,1Fam,2932.0,1.5,149900
117,2,2000,5,1Story,2.0,4765,Somerst,TwnhsE,3252.0,2.0,300000
118,3,1960,3,1Story,2.0,10532,ClearCr,1Fam,2709.0,2.0,145000
119,3,1997,5,2Story,2.0,15426,CollgCr,1Fam,2692.0,2.5,231500
120,3,1969,6,1Story,0.0,13907,Edwards,1Fam,1992.0,1.0,108000
121,3,1956,5,1Story,1.0,8750,NAmes,1Fam,2404.0,1.0,120000
122,3,1961,5,1Story,2.0,9945,Sawyer,1Fam,1976.0,1.0,128500
123,2,1950,6,1Story,2.0,8960,OldTown,1Fam,2036.0,1.0,115000
124,2,1950,7,1.5Fin,1.0,3500,OldTown,1Fam,2004.0,1.5,110000
125,3,1977,3,2Story,3.0,24572,Veenker,1Fam,3938.0,3.0,150000
126,3,2004,5,2Story,2.0,9056,Gilbert,1Fam,2121.0,2.5,178000
127,3,1990,7,2Story,3.0,12320,Crawfor,1Fam,2246.0,1.5,199500
128,3,1998,5,2Story,2.0,8238,Gilbert,1Fam,2338.0,2.5,183500
129,3,1967,5,SLvl,1.0,6000,IDOTRR,1Fam,2280.0,1.5,126000
130,2,1977,6,1Story,2.0,2529,NPkVill,Twnhs,2110.0,2.0,148500
131,4,2006,7,2Story,2.0,10800,OldTown,1Fam,2028.0,2.0,149000
132,3,1977,5,2Story,2.0,2349,NPkVill,Twnhs,2311.0,2.5,137900
133,1,1993,5,1Story,2.0,10846,Veenker,TwnhsE,3438.0,1.5,324000
134,2,1950,6,1Story,0.0,5604,Edwards,1Fam,1728.0,1.0,98000
135,2,1973,5,2Story,1.0,1680,BrDale,Twnhs,1470.0,1.5,103400
136,2,1996,8,1.5Fin,0.0,6342,Sawyer,1Fam,1800.0,1.0,94000
137,2,2006,5,1Story,2.0,4590,NridgHt,Twnhs,3108.0,2.0,209500
138,5,2006,5,2Story,3.0,18062,StoneBr,1Fam,4918.0,3.5,545224
139,3,2009,8,2Story,0.0,12900,OldTown,1Fam,2340.0,1.5,159900
140,2,1951,5,1Story,2.0,19138,Gilbert,1Fam,1728.0,1.0,141000
141,3,2000,5,2Story,2.0,8658,Gilbert,1Fam,2871.0,2.5,215000
142,3,2010,8,1Story,1.0,6897,Sawyer,1Fam,2080.0,1.5,127000
143,3,1998,7,1Story,1.0,9525,Edwards,1Fam,2344.0,1.0,128000
144,1,2010,5,1Story,3.0,12853,Somerst,1Fam,3060.0,1.5,267916
145,3,1950,6,1.5Fin,1.0,6240,BrkSide,1Fam,2251.0,1.0,127500
146,4,2003,5,SFoyer,2.0,7301,Edwards,1Fam,1922.0,3.0,198500
147,3,1981,6,1Story,2.0,12090,NWAmes,1Fam,2844.0,2.0,175500
148,3,2000,5,2Story,2.0,8826,CollgCr,1Fam,2827.0,2.5,217500
149,4,1950,5,1.5Fin,2.0,8094,OldTown,1Fam,2850.0,1.5,149500
150,3,2004,7,1Story,2.0,10710,NAmes,1Fam,1984.0,1.0,148800
151,4,2006,5,2Story,3.0,16056,StoneBr,1Fam,4860.0,3.5,556581
152,3,1957,3,1Story,2.0,8400,NAmes,1Fam,2956.0,1.5,156500
153,4,1996,5,2Story,2.0,11250,CollgCr,1Fam,2925.0,2.5,237000
154,2,1985,7,1Story,1.0,7535,NAmes,1Fam,1824.0,1.0,120000
155,3,2005,5,1Story,2.0,12216,Gilbert,1Fam,2652.0,2.0,203000
156,2,1987,5,1Story,2.0,3701,StoneBr,TwnhsE,2395.0,2.0,130000
157,4,1964,6,2Story,2.0,9760,NAmes,1Fam,2391.0,1.5,167900
158,3,1970,5,1Story,2.0,9873,BrkSide,2fmCon,1920.0,1.0,129000
159,2,1996,6,1Story,1.0,10011,NAmes,1Fam,2306.0,1.0,134450
160,3,2007,7,1Story,2.0,25339,Sawyer,1Fam,2232.0,2.0,112000
161,3,1988,5,2Story,2.0,8883,SawyerW,1Fam,2802.0,2.5,207000
162,4,1950,1,2Story,0.0,3000,OldTown,Duplex,3168.0,2.0,62500
163,2,2004,5,2Story,2.0,2448,NridgHt,Twnhs,2390.0,2.5,154000
164,2,1957,7,1Story,1.0,7100,NAmes,1Fam,1632.0,1.0,129900
165,3,1976,3,2Story,1.0,2592,MeadowV,TwnhsE,1648.0,1.5,85000
166,2,1950,7,1.5Fin,1.0,5700,OldTown,1Fam,1683.0,1.0,116900
167,3,1978,6,2Story,2.0,2289,NPkVill,Twnhs,2296.0,2.5,148500
168,2,1950,4,1.5Fin,1.0,12180,Edwards,2fmCon,1596.0,1.0,80000
169,2,1984,5,SFoyer,2.0,7400,Sawyer,1Fam,2186.0,1.0,152000
170,3,1954,6,1Story,1.0,8842,Edwards,1Fam,1373.0,1.0,155891
171,3,1950,7,1.5Fin,2.0,8850,BrkSide,1Fam,2144.0,1.0,165000
172,2,2010,5,1Story,2.0,9215,Somerst,1Fam,2436.0,2.0,204500
173,3,1995,7,2Story,1.0,9480,NAmes,1Fam,2372.0,1.5,146500
174,3,1978,5,1Story,2.0,11880,NWAmes,1Fam,2872.0,2.0,157000
175,5,1999,7,2Story,2.0,10800,OldTown,1Fam,3808.0,2.0,184000
176,3,2003,5,2Story,2.0,7861,Gilbert,1Fam,2292.0,2.5,183200
177,3,1962,5,1Story,1.0,11616,Sawyer,1Fam,2184.0,1.0,139000
178,3,1994,5,2Story,3.0,10542,NoRidge,1Fam,3729.0,2.5,341000
179,2,1971,5,2Story,1.0,1680,BrDale,Twnhs,1470.0,1.5,96000
180,2,2004,5,1Story,2.0,8546,Edwards,1Fam,2242.0,2.0,140000
181,2,1996,7,1Story,2.0,7407,OldTown,1Fam,2148.0,1.0,149700
182,3,1975,6,1Story,2.0,10140,NWAmes,1Fam,2130.0,1.5,153500
183,2,1952,5,1Story,2.0,14584,IDOTRR,1Fam,733.0,1.0,13100
184,3,2003,5,2Story,2.0,8158,CollgCr,1Fam,2652.0,2.5,224900
185,3,2005,5,1Story,2.0,7500,Somerst,1Fam,2523.0,2.0,176000
186,4,2000,5,1.5Fin,2.0,10678,NoRidge,1Fam,4555.0,2.5,285000
187,3,2007,5,1Story,3.0,15256,Somerst,1Fam,2949.0,2.0,282922
188,4,1966,6,2Story,2.0,14200,NAmes,1Fam,3081.0,2.5,226000
189,4,2006,5,2Story,3.0,12438,StoneBr,1Fam,3810.0,2.5,361919
190,3,2006,5,2Story,3.0,16023,StoneBr,1Fam,4196.0,3.5,457347
191,0,1976,6,1Story,2.0,20064,ClearCr,1Fam,2709.0,0.5,279000
192,2,1977,5,1Story,2.0,9819,Mitchel,1Fam,3134.0,2.0,196000
193,3,1976,5,1Story,2.0,10400,NWAmes,1Fam,2460.0,2.0,152000
194,6,1969,5,2Story,4.0,11643,NAmes,Duplex,3882.0,3.0,200000
195,2,2006,5,1Story,3.0,11645,CollgCr,1Fam,3160.0,2.5,294900
196,2,2009,5,1Story,3.0,7328,SawyerW,1Fam,2900.0,2.0,224243
197,3,1950,3,1.5Fin,2.0,7822,Edwards,1Fam,2170.0,2.0,92000
198,3,2007,5,2Story,2.0,9018,Gilbert,1Fam,2184.0,2.5,179540
199,3,2003,5,1Story,3.0,13472,NridgHt,1Fam,4784.0,2.0,386250
200,2,1970,5,SLvl,1.0,1533,MeadowV,Twnhs,1522.0,1.0,106500
201,3,2008,5,2Story,3.0,11003,Somerst,1Fam,3024.0,2.5,310000
202,4,1998,5,2Story,3.0,10790,NoRidge,1Fam,3451.0,2.5,252000
203,4,1950,5,2.5Unf,1.0,7128,Crawfor,1Fam,2564.0,2.0,164000
204,3,2007,5,2Story,2.0,7713,Gilbert,1Fam,2184.0,2.5,177594
205,2,1980,7,1.5Fin,2.0,6240,BrkSide,1Fam,1568.0,1.0,123900
206,4,1950,6,2Story,3.0,22420,Crawfor,1Fam,3994.0,2.5,239000
207,2,1977,5,1Story,2.0,15300,Mitchel,1Fam,2332.0,1.0,169000
208,2,2004,5,1Story,2.0,3196,Blmngtn,TwnhsE,2931.0,2.0,234000
209,2,1977,7,SFoyer,2.0,9360,Mitchel,1Fam,2244.0,1.5,173000
210,2,1970,7,1Story,2.0,11241,NAmes,1Fam,2008.0,1.0,149000
211,3,2007,5,1Story,2.0,9260,SawyerW,1Fam,2324.0,2.0,170000
212,3,2009,5,1Story,2.0,7993,Somerst,1Fam,2872.0,2.0,225000
213,3,2003,8,1Story,1.0,9239,Sawyer,1Fam,1920.0,1.0,144900
214,3,1968,6,1Story,1.0,10044,Edwards,1Fam,2392.0,1.0,144000
215,2,2005,5,1Story,2.0,3182,Blmngtn,TwnhsE,2525.0,2.0,192000
216,2,2005,8,1Story,1.0,7626,NAmes,1Fam,2062.0,1.0,145500
217,1,1998,8,1.5Fin,1.0,7008,OldTown,1Fam,1168.0,1.0,86900
218,2,1953,4,1Story,2.0,12160,NAmes,1Fam,3010.0,1.0,149500
219,2,1950,7,1Story,1.0,6305,Crawfor,1Fam,1874.0,1.0,119750
220,3,2006,5,2Story,2.0,8846,CollgCr,1Fam,2250.0,2.5,173900
221,3,1961,6,1Story,1.0,10659,NAmes,1Fam,2100.0,1.0,136500
222,4,1994,5,2Story,2.0,13108,StoneBr,1Fam,4749.0,2.5,270000
223,1,1975,7,1Story,2.0,13500,ClearCr,1Fam,2854.0,1.0,235000
224,3,2000,5,SLvl,2.0,7750,Gilbert,1Fam,1814.0,2.5,156000
225,3,2004,5,1Story,2.0,12450,SawyerW,1Fam,2228.0,2.0,153000
226,2,1999,5,1Story,2.0,4500,Mitchel,TwnhsE,2448.0,2.0,165000
227,4,2007,5,2Story,3.0,11198,StoneBr,1Fam,3626.0,2.5,325000
228,3,1950,5,1.5Fin,2.0,6221,Crawfor,2fmCon,2083.0,2.0,140000
229,5,1963,6,SLvl,2.0,13200,IDOTRR,1Fam,3035.0,3.0,202500
230,1,2008,5,1Story,3.0,8769,NridgHt,TwnhsE,3404.0,1.5,367294
231,3,1989,5,SLvl,2.0,10200,Timber,1Fam,2970.0,2.0,175000
232,3,1970,5,2Story,3.0,9550,Crawfor,1Fam,2473.0,1.0,140000
233,3,1985,7,1Story,2.0,10331,Timber,1Fam,2505.0,2.0,174000
234,2,2005,5,SLvl,2.0,9587,Gilbert,1Fam,2022.0,2.0,190000
235,3,2002,8,2Story,0.0,9900,OldTown,1Fam,1968.0,2.0,129000
236,3,1991,7,1Story,2.0,22002,NAmes,1Fam,3244.0,1.5,200000
237,4,1968,6,2Story,1.0,13000,NAmes,1Fam,3038.0,2.5,193500
238,3,1964,7,1Story,2.0,8250,NAmes,1Fam,2184.0,1.0,145000
239,4,1950,7,1.5Fin,2.0,8170,Crawfor,1Fam,2693.0,2.0,218000
240,3,2002,6,1Story,2.0,12048,Edwards,1Fam,1488.0,1.0,135000
241,2,1952,6,1Story,1.0,10858,NAmes,1Fam,3068.0,1.0,146500
242,2,2006,5,1Story,2.0,7577,NridgHt,TwnhsE,2724.0,2.0,194700
243,2,2008,5,1Story,2.0,7500,Somerst,1Fam,2436.0,2.0,230348
244,2,1950,5,1Story,1.0,6120,OldTown,1Fam,2192.0,1.0,109500
245,3,1979,6,1Story,2.0,23580,Mitchel,1Fam,3250.0,2.0,242500
246,2,1987,7,2Story,2.0,5306,StoneBr,TwnhsE,2831.0,2.0,239000
247,3,2000,8,1Story,1.0,8092,NAmes,1Fam,2100.0,1.0,156000
248,3,1957,6,1Story,1.0,8593,NAmes,1Fam,1814.0,1.0,109008
249,1,1950,4,1.5Fin,1.0,11067,IDOTRR,1Fam,640.0,1.0,68104
250,4,1995,7,2Story,3.0,11929,NoRidge,1Fam,3743.0,2.5,290000
251,3,1966,5,1Story,2.0,9900,NAmes,1Fam,2418.0,1.0,159000
252,2,1950,7,2Story,1.0,4882,BrkSide,1Fam,1254.0,1.0,87000
253,3,2002,5,1Story,2.0,11423,CollgCr,1Fam,3182.0,2.0,272000
254,3,2006,5,1Story,2.0,8772,CollgCr,1Fam,2672.0,2.0,198000
255,2,1985,6,1.5Fin,2.0,7628,OldTown,1Fam,2457.0,2.0,119164
256,3,1954,5,1Story,0.0,8335,Edwards,1Fam,1124.0,1.0,93000
257,3,2001,5,2Story,2.0,8220,Gilbert,1Fam,2874.0,2.5,226750
258,3,1970,5,2Story,2.0,10615,OldTown,2fmCon,2677.0,2.0,95000
259,3,1950,7,1.5Fin,1.0,6000,BrkSide,1Fam,2196.0,1.5,139900
260,3,1966,2,1Story,0.0,5350,BrkSide,1Fam,2034.0,1.0,76500
261,2,2005,7,1Story,1.0,5400,OldTown,1Fam,1344.0,1.0,86900
262,3,1968,6,1Story,1.0,17979,Mitchel,1Fam,2273.0,1.0,152500
263,2,1953,5,1Story,1.0,9520,Edwards,1Fam,1841.0,1.0,99000
264,2,1950,7,1Story,0.0,5330,BrkSide,1Fam,1128.0,1.0,82500
265,2,1992,5,1Story,2.0,8012,SawyerW,TwnhsE,3150.0,2.0,179200
266,3,1966,6,1Story,1.0,9000,Sawyer,1Fam,2118.0,1.0,142500
267,3,1964,3,1Story,2.0,14299,Sawyer,1Fam,2010.0,1.0,115400
268,3,2001,5,2Story,2.0,7050,Somerst,1Fam,2986.0,2.5,226000
269,2,2005,5,2Story,2.0,3180,Somerst,TwnhsE,1720.0,2.5,144152
270,4,2003,5,2Story,3.0,16451,NridgHt,1Fam,4455.0,2.5,370000
271,2,1984,7,1Story,2.0,12887,Mitchel,1Fam,1666.0,1.0,149900
272,3,2006,5,2Story,2.0,15578,Gilbert,1Fam,2184.0,2.5,172785
273,3,2002,8,1Story,2.0,7200,NAmes,1Fam,1728.0,1.0,129000
274,3,1998,5,1Story,2.0,17043,NWAmes,1Fam,2948.0,2.0,181000
275,3,1956,6,SLvl,1.0,10000,NAmes,1Fam,2428.0,1.0,148000
276,2,2002,5,1Story,0.0,8050,Edwards,1Fam,1828.0,1.0,117250
277,2,2006,5,1Story,2.0,3182,Blmngtn,TwnhsE,2928.0,2.0,192500
278,3,1980,6,2Story,2.0,1950,Blueste,Twnhs,2272.0,2.5,151000
279,3,1972,5,1Story,2.0,7700,CollgCr,1Fam,1764.0,1.0,112500
280,3,1950,5,1Story,2.0,8731,BrkSide,1Fam,2082.0,1.0,144000
281,2,2008,5,1Story,3.0,8232,NridgHt,TwnhsE,3600.0,2.0,370967
282,3,1975,6,2Story,2.0,2280,NPkVill,Twnhs,2311.0,2.5,149900
283,3,2002,5,2Story,2.0,8935,CollgCr,1Fam,2491.0,2.5,195000
284,3,1992,5,SLvl,2.0,9125,Gilbert,1Fam,1866.0,2.5,163900
285,3,1984,5,1Story,2.0,11075,ClearCr,1Fam,2712.0,2.0,182000
286,3,2008,5,1Story,3.0,13438,Timber,1Fam,4226.0,2.0,410000
287,2,1991,5,1Story,2.0,11070,Mitchel,1Fam,3177.0,2.0,152000
288,3,2005,5,2Story,2.0,7800,SawyerW,1Fam,2577.0,2.5,184000
289,2,1998,5,SFoyer,4.0,7060,Mitchel,Duplex,2688.0,2.0,206300
290,4,1970,5,1Story,3.0,11836,Mitchel,Duplex,3304.0,2.0,146500
291,3,1956,5,1.5Fin,1.0,8382,NAmes,1Fam,2169.0,1.0,108000
292,4,1992,6,SLvl,2.0,10192,NWAmes,1Fam,2490.0,3.0,170000
293,1,2004,5,1Story,2.0,4426,CollgCr,TwnhsE,1696.0,1.0,145000
294,2,1975,5,1Story,2.0,2280,NPkVill,Twnhs,2112.0,2.0,123000
295,2,1997,5,1Story,2.0,2887,ClearCr,1Fam,2582.0,1.0,173000
296,2,2003,8,1Story,2.0,8520,OldTown,1Fam,1344.0,1.0,105900
297,2,1973,5,SLvl,1.0,1596,MeadowV,Twnhs,1450.0,1.0,91000
298,3,2005,7,1.5Fin,1.0,15600,Crawfor,1Fam,2590.0,2.0,158000
299,3,2004,5,2Story,2.0,9313,CollgCr,1Fam,2592.0,2.5,190000
300,1,1995,5,1Story,2.0,11064,Veenker,TwnhsE,2469.0,1.5,217500
301,4,1958,5,1.5Fin,1.0,9000,IDOTRR,1Fam,3106.0,2.0,165500
302,3,1950,7,2Story,1.0,12000,Crawfor,1Fam,2268.0,1.5,174500
303,3,1954,6,SLvl,1.0,7692,Edwards,1Fam,1620.0,1.0,100000
304,3,1958,6,1Story,1.0,14267,NAmes,1Fam,2658.0,1.5,172000
305,3,1975,6,1Story,2.0,9675,CollgCr,1Fam,1743.0,1.0,120000
306,2,1950,4,1Story,1.0,8400,SawyerW,1Fam,1562.0,1.0,82000
307,3,1950,6,1.5Fin,2.0,7500,NAmes,1Fam,2096.0,1.5,127000
308,3,1950,5,2.5Unf,2.0,9600,OldTown,1Fam,2793.0,1.5,129500
309,1,1984,5,1Story,2.0,5814,StoneBr,TwnhsE,2580.0,1.0,187500
310,3,2003,5,1Story,3.0,14860,CollgCr,1Fam,3564.0,2.0,300000
311,4,1971,5,2Story,2.0,14803,NWAmes,1Fam,2818.0,2.5,190000
312,4,1950,5,1.5Fin,1.0,7550,Edwards,1Fam,2313.0,2.0,96000
313,2,2007,5,2Story,2.0,8125,Somerst,1Fam,2642.0,2.0,241000
314,3,1962,5,1Story,1.0,13673,Sawyer,1Fam,2836.0,1.5,143900
315,3,1970,5,2Story,1.0,1533,MeadowV,Twnhs,1638.0,1.5,87550
316,2,2005,5,1Story,2.0,7658,NridgHt,TwnhsE,3504.0,2.0,319900
317,4,2006,5,2Story,3.0,12292,StoneBr,1Fam,3567.0,2.5,356383
318,2,2007,5,1Story,2.0,11923,CollgCr,1Fam,3600.0,2.0,239000
319,4,1994,5,2Story,3.0,10010,NoRidge,1Fam,3277.0,2.5,287500
