,totrms_abvgrd,fireplaces,garage_yr_blt,garage_cars,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,misc_val,mo_sold,yr_sold,saleprice,total_sf
106,6,0,2000.0,2.0,153,50,0,0,0,0,4,2006,165000,2055.0
107,10,1,1916.0,1.0,88,15,0,0,0,0,8,2007,136000,3240.0
108,4,2,1957.0,2.0,0,189,0,0,0,0,10,2006,252000,3095.0
109,6,0,2003.0,2.0,0,27,0,0,0,0,6,2010,175500,2390.0
110,7,1,1939.0,2.0,0,36,0,0,182,0,10,2009,150000,2248.0
111,6,1,1960.0,1.0,0,0,36,0,0,600,8,2007,139900,2400.0
112,8,1,1930.0,2.0,0,0,0,0,0,0,6,2008,162900,2651.0
113,5,0,1962.0,2.0,0,0,0,0,385,0,2,2010,160000,2232.0
114,5,0,1978.7077955601446,0.0,0,0,100,0,0,0,6,2009,63900,660.0
115,7,1,1978.0,2.0,0,0,0,0,0,0,5,2009,184000,2847.0
116,6,2,1959.0,2.0,0,140,0,0,100,0,11,2006,149900,2932.0
117,5,1,2000.0,2.0,230,68,0,0,0,0,7,2008,300000,3252.0
118,7,2,1960.0,2.0,50,84,0,0,0,0,12,2008,145000,2709.0
119,7,0,1997.0,2.0,276,99,0,0,0,0,8,2009,231500,2692.0
120,6,1,1978.7077955601446,0.0,144,0,0,0,0,0,7,2008,108000,1992.0
121,6,0,1956.0,1.0,0,35,120,0,0,0,11,2009,120000,2404.0
122,5,0,1963.0,2.0,0,0,0,0,0,0,10,2007,128500,1976.0
123,5,1,1927.0,2.0,0,0,130,0,0,0,3,2010,115000,2036.0
124,5,0,1948.0,1.0,0,35,0,0,0,0,4,2009,110000,2004.0
125,9,1,1977.0,3.0,140,70,16,0,0,0,6,2008,150000,3938.0
126,6,1,2004.0,2.0,100,35,0,0,0,0,10,2006,178000,2121.0
127,8,2,1963.0,3.0,0,0,0,0,104,0,5,2006,199500,2246.0
128,6,1,1997.0,2.0,421,72,0,0,0,0,5,2006,183500,2338.0
129,7,1,1967.0,1.0,0,180,0,0,100,0,7,2008,126000,2280.0
130,4,0,1977.0,2.0,0,38,0,0,0,0,9,2008,148500,2110.0
131,7,0,1939.0,2.0,187,0,128,0,0,0,8,2009,149000,2028.0
132,6,1,1977.0,2.0,0,28,0,0,0,0,5,2009,137900,2311.0
133,6,2,1993.0,2.0,122,30,0,0,0,0,5,2008,324000,3438.0
134,5,0,1978.7077955601446,0.0,0,0,96,0,0,0,4,2008,98000,1728.0
135,5,0,1973.0,1.0,52,0,0,0,0,0,2,2008,103400,1470.0
136,6,0,1978.7077955601446,0.0,0,0,176,0,0,0,5,2010,94000,1800.0
137,6,1,2006.0,2.0,156,73,0,0,0,0,8,2007,209500,3108.0
138,10,1,2006.0,3.0,204,34,0,0,0,0,9,2006,545224,4918.0
139,7,0,1978.7077955601446,0.0,344,0,0,0,168,0,5,2010,159900,2340.0
140,4,0,1951.0,2.0,0,0,0,0,0,0,6,2010,141000,1728.0
141,9,1,2000.0,2.0,0,0,0,0,0,0,4,2006,215000,2871.0
142,6,0,1962.0,1.0,0,104,0,0,0,0,4,2010,127000,2080.0
143,5,0,1954.0,1.0,240,0,0,0,0,0,6,2010,128000,2344.0
144,6,1,2010.0,3.0,160,192,0,224,0,0,4,2010,267916,3060.0
145,6,1,1978.0,1.0,0,0,0,0,120,0,11,2007,127500,2251.0
146,7,1,2003.0,2.0,0,0,177,0,0,0,7,2009,198500,1922.0
147,7,1,1981.0,2.0,276,0,0,0,0,0,6,2008,175500,2844.0
148,7,1,2000.0,2.0,193,96,0,0,0,0,7,2007,217500,2827.0
149,9,1,1915.0,2.0,160,0,364,0,0,0,6,2010,149500,2850.0
150,5,1,1966.0,2.0,0,162,0,0,0,1200,7,2009,148800,1984.0
151,11,1,2005.0,3.0,214,108,0,0,0,0,7,2006,556581,4860.0
152,6,2,1957.0,2.0,114,0,0,0,216,0,6,2009,156500,2956.0
153,8,1,1995.0,2.0,275,170,0,0,0,0,7,2006,237000,2925.0
154,5,0,1958.0,1.0,12,285,0,0,0,480,6,2007,120000,1824.0
155,6,0,2005.0,2.0,120,23,0,0,0,2000,6,2007,203000,2652.0
156,5,0,1987.0,2.0,120,70,0,0,0,0,8,2006,130000,2395.0
157,7,0,1964.0,2.0,328,128,0,0,189,0,6,2008,167900,2391.0
158,6,0,1970.0,2.0,0,288,0,0,0,0,5,2006,129000,1920.0
159,6,1,1957.0,1.0,0,0,0,0,0,0,5,2006,134450,2306.0
160,7,0,2007.0,2.0,0,0,112,0,0,0,8,2007,112000,2232.0
161,7,1,1988.0,2.0,108,48,0,0,144,0,5,2007,207000,2802.0
162,11,0,1978.7077955601446,0.0,0,56,0,0,0,0,9,2009,62500,3168.0
163,6,0,2003.0,2.0,0,27,0,0,0,0,10,2008,154000,2390.0
164,5,0,1957.0,1.0,0,0,0,0,0,0,7,2006,129900,1632.0
165,4,0,1976.0,1.0,182,0,0,0,0,0,4,2010,85000,1648.0
166,5,1,1982.0,1.0,0,0,176,0,0,0,8,2008,116900,1683.0
167,7,1,1978.0,2.0,28,0,0,0,0,0,4,2009,148500,2296.0
168,5,0,1941.0,1.0,0,0,0,0,0,0,7,2010,80000,1596.0
169,5,0,1984.0,2.0,178,0,0,0,0,0,3,2008,152000,2186.0
170,6,0,1954.0,1.0,60,0,56,0,0,0,1,2010,155891,1373.0
171,7,0,1977.0,2.0,0,54,144,0,0,0,2,2007,165000,2144.0
172,4,0,2009.0,2.0,0,136,0,0,0,0,4,2010,204500,2436.0
173,7,2,1942.0,1.0,168,0,0,0,0,0,6,2007,146500,2372.0
174,7,1,1978.0,2.0,0,0,0,0,0,0,4,2009,157000,2872.0
175,10,1,1950.0,2.0,0,299,0,0,0,0,12,2008,184000,3808.0
176,7,1,2002.0,2.0,100,75,0,0,0,0,6,2006,183200,2292.0
177,6,1,1962.0,1.0,0,20,144,0,0,0,9,2009,139000,2184.0
178,9,1,1993.0,3.0,250,154,216,0,0,0,8,2008,341000,3729.0
179,5,0,1971.0,1.0,275,0,0,0,0,0,2,2010,96000,1470.0
180,5,0,2003.0,2.0,132,64,0,0,0,0,3,2010,140000,2242.0
181,6,0,1957.0,2.0,0,158,158,0,0,0,4,2010,149700,2148.0
182,6,0,1975.0,2.0,0,88,0,0,0,0,7,2006,153500,2130.0
183,4,0,1952.0,2.0,0,0,0,0,0,0,2,2008,13100,733.0
184,8,0,2003.0,2.0,0,63,0,0,0,0,7,2008,224900,2652.0
185,6,1,2005.0,2.0,38,144,0,0,0,0,4,2006,176000,2523.0
186,9,1,1992.0,2.0,0,33,0,0,0,0,4,2007,285000,4555.0
187,6,0,2007.0,3.0,168,160,0,0,0,0,8,2007,282922,2949.0
188,8,2,1966.0,2.0,105,66,0,0,0,0,5,2006,226000,3081.0
189,10,1,2006.0,3.0,324,100,0,0,0,0,7,2006,361919,3810.0
190,11,1,2005.0,3.0,182,37,0,0,0,0,3,2006,457347,4196.0
191,5,2,1976.0,2.0,646,0,0,0,0,0,5,2007,279000,2709.0
192,5,2,1977.0,2.0,264,32,0,0,0,0,5,2009,196000,3134.0
193,6,1,1976.0,2.0,0,0,0,0,0,0,6,2009,152000,2460.0
194,12,0,1969.0,4.0,0,0,0,0,0,0,8,2009,200000,3882.0
195,6,0,2005.0,3.0,176,80,0,0,0,0,8,2006,294900,3160.0
196,6,0,2008.0,3.0,0,93,0,0,0,0,2,2009,224243,2900.0
197,7,0,1974.0,2.0,0,0,208,0,0,0,5,2006,92000,2170.0
198,8,1,2007.0,2.0,100,24,0,0,0,0,7,2007,179540,2184.0
199,8,1,2003.0,3.0,248,105,0,0,0,0,6,2009,386250,4784.0
200,4,0,1970.0,1.0,112,97,0,0,0,0,7,2007,106500,1522.0
201,10,1,2008.0,3.0,168,52,0,0,0,0,4,2009,310000,3024.0
202,8,1,1998.0,3.0,120,38,0,0,0,0,5,2007,252000,3451.0
203,7,2,1941.0,1.0,0,0,0,0,126,0,8,2007,164000,2564.0
204,7,0,2007.0,2.0,100,24,0,0,0,0,7,2007,177594,2184.0
205,5,0,1979.0,2.0,306,0,32,0,0,0,5,2010,123900,1568.0
206,10,1,1918.0,3.0,0,0,0,0,0,0,11,2007,239000,3994.0
207,7,1,1965.0,2.0,0,0,0,0,0,0,6,2010,169000,2332.0
208,7,1,2003.0,2.0,143,20,0,0,0,0,10,2006,234000,2931.0
209,5,2,1977.0,2.0,302,39,0,0,120,0,11,2009,173000,2244.0
210,5,1,1970.0,2.0,0,0,0,0,0,700,3,2010,149000,2008.0
211,6,0,2007.0,2.0,0,32,0,0,0,0,3,2008,170000,2324.0
212,6,0,2008.0,2.0,0,121,0,0,0,0,10,2009,225000,2872.0
213,6,0,1963.0,1.0,168,0,0,0,0,0,5,2008,144900,1920.0
214,6,0,1968.0,1.0,257,0,168,0,0,0,6,2010,144000,2392.0
215,6,1,2004.0,2.0,146,20,0,0,144,0,4,2010,192000,2525.0
216,5,0,1952.0,1.0,0,0,0,0,0,0,3,2009,145500,2062.0
217,5,0,1900.0,1.0,0,0,70,0,0,0,3,2006,86900,1168.0
218,6,1,1953.0,2.0,0,0,0,162,0,0,2,2009,149500,3010.0
219,5,1,1938.0,1.0,0,0,0,0,0,0,6,2007,119750,1874.0
220,6,0,2005.0,2.0,0,35,0,0,0,0,8,2006,173900,2250.0
221,6,0,1961.0,1.0,0,319,0,0,0,0,1,2006,136500,2100.0
222,9,0,1994.0,2.0,168,12,0,0,0,0,12,2006,270000,4749.0
223,4,1,1960.0,2.0,409,0,0,0,0,0,3,2008,235000,2854.0
224,7,1,1999.0,2.0,0,0,0,0,0,0,3,2009,156000,1814.0
225,6,0,2004.0,2.0,0,42,0,0,0,0,6,2009,153000,2228.0
226,5,0,1999.0,2.0,0,304,0,0,0,0,6,2009,165000,2448.0
227,11,1,2005.0,3.0,144,39,0,0,0,0,6,2008,325000,3626.0
228,5,0,1966.0,2.0,0,0,0,0,144,0,10,2007,140000,2083.0
229,9,1,1963.0,2.0,0,110,0,0,0,0,4,2007,202500,3035.0
230,7,1,2008.0,3.0,0,72,0,0,224,0,10,2008,367294,3404.0
231,5,1,1988.0,2.0,224,0,0,0,0,0,8,2008,175000,2970.0
232,7,1,1998.0,3.0,0,35,272,0,0,0,2,2006,140000,2473.0
233,6,0,1985.0,2.0,232,0,0,0,0,0,7,2007,174000,2505.0
234,5,0,2005.0,2.0,212,0,0,0,0,0,7,2008,190000,2022.0
235,7,0,1978.7077955601446,0.0,0,0,176,0,0,0,3,2009,129000,1968.0
236,6,1,1959.0,2.0,0,0,0,0,201,0,7,2007,200000,3244.0
237,8,1,1968.0,1.0,0,72,0,0,252,0,6,2009,193500,3038.0
238,6,0,1964.0,2.0,0,0,0,0,0,0,7,2008,145000,2184.0
239,7,1,1963.0,2.0,0,0,0,0,0,0,2,2006,218000,2693.0
240,7,1,2002.0,2.0,0,189,36,0,348,0,4,2006,135000,1488.0
241,6,1,1952.0,1.0,0,40,324,0,0,0,7,2006,146500,3068.0
242,6,1,2005.0,2.0,192,28,0,0,0,0,6,2007,194700,2724.0
243,6,0,2008.0,2.0,168,168,0,0,0,0,4,2008,230348,2436.0
244,5,1,1923.0,1.0,0,0,128,0,0,0,3,2010,109500,2192.0
245,6,1,1979.0,2.0,136,28,0,0,0,0,9,2006,242500,3250.0
246,5,1,1987.0,2.0,441,35,0,0,0,0,6,2006,239000,2831.0
247,6,0,1954.0,1.0,0,0,0,0,0,0,6,2006,156000,2100.0
248,5,0,1964.0,1.0,0,0,0,0,0,0,7,2008,109008,1814.0
249,4,0,1950.0,1.0,48,0,0,0,0,0,3,2007,68104,845.0
250,9,1,1995.0,3.0,192,87,0,0,0,0,6,2008,290000,3743.0
251,6,0,1966.0,2.0,0,0,120,0,0,0,4,2010,159000,2418.0
252,5,0,1937.0,1.0,0,0,0,0,0,0,9,2008,87000,1254.0
253,6,1,2001.0,2.0,180,0,0,0,0,2000,5,2010,272000,3182.0
254,6,0,2005.0,2.0,136,43,0,0,0,0,9,2006,198000,2672.0
255,8,0,1958.0,2.0,187,0,0,0,0,0,5,2008,119164,2457.0
256,5,1,1978.7077955601446,0.0,0,36,190,0,0,0,4,2006,93000,1124.0
257,8,1,2000.0,2.0,108,0,0,0,0,0,7,2008,226750,2874.0
258,7,0,1920.0,2.0,0,74,0,0,0,0,8,2009,95000,2677.0
259,6,0,1948.0,1.0,221,0,48,0,0,0,3,2010,139900,2196.0
260,6,0,1978.7077955601446,0.0,263,0,0,0,0,450,5,2010,76500,2034.0
261,4,0,1997.0,1.0,88,108,0,0,0,0,7,2008,86900,1344.0
262,6,0,1968.0,1.0,81,0,0,0,0,500,2,2008,152500,2273.0
263,5,0,1953.0,1.0,134,0,0,0,0,3000,5,2008,99000,1841.0
264,5,0,1978.7077955601446,0.0,164,0,0,0,0,0,12,2009,82500,1128.0
265,5,0,1992.0,2.0,0,0,52,0,0,0,7,2007,179200,3150.0
266,6,0,1966.0,1.0,0,88,0,0,0,0,6,2006,142500,2118.0
267,5,0,1964.0,2.0,0,0,0,0,0,0,7,2007,115400,2010.0
268,7,1,2001.0,2.0,0,235,0,0,0,0,5,2007,226000,2986.0
269,4,0,2005.0,2.0,0,166,0,0,0,0,4,2006,144152,1800.0
270,9,1,2003.0,3.0,268,58,0,0,0,0,7,2008,370000,4455.0
271,5,0,1984.0,2.0,431,0,0,0,0,0,4,2010,149900,1666.0
272,8,0,2006.0,2.0,0,0,0,0,0,0,5,2006,172785,2184.0
273,5,0,1980.0,2.0,194,0,0,0,0,0,7,2007,129000,1728.0
274,7,1,1979.0,2.0,192,0,0,0,0,0,1,2009,181000,2948.0
275,6,1,1956.0,1.0,191,0,0,0,120,0,2,2006,148000,2428.0
276,4,0,1978.7077955601446,0.0,32,0,0,0,0,0,4,2006,117250,1828.0
277,7,1,2005.0,2.0,143,20,0,0,0,0,5,2009,192500,2928.0
278,6,1,1980.0,2.0,161,0,0,0,0,0,7,2008,151000,2272.0
279,5,0,1980.0,2.0,96,0,0,0,0,0,3,2007,112500,1764.0
280,6,1,1972.0,2.0,0,0,216,0,126,0,5,2007,144000,2082.0
281,6,1,2008.0,3.0,210,0,0,0,0,0,6,2008,370967,3600.0
282,6,1,1975.0,2.0,173,0,0,0,0,0,6,2010,149900,2311.0
283,7,0,2002.0,2.0,144,68,0,0,0,0,7,2009,195000,2491.0
284,7,1,1992.0,2.0,100,25,0,0,0,0,7,2007,163900,1866.0
285,7,1,1984.0,2.0,0,77,0,0,168,0,2,2007,182000,2712.0
286,9,1,2008.0,3.0,90,154,0,0,0,0,7,2009,410000,4226.0
287,5,0,1991.0,2.0,0,0,0,0,0,0,4,2009,152000,3177.0
288,8,0,2005.0,2.0,144,101,0,0,0,0,4,2006,184000,2577.0
289,8,0,1997.0,4.0,0,0,0,0,0,0,11,2008,206300,2688.0
290,8,0,1970.0,3.0,0,0,0,0,0,0,3,2006,146500,3304.0
291,5,0,1956.0,1.0,0,0,0,0,0,0,2,2010,108000,2169.0
292,8,1,1968.0,2.0,0,98,0,0,0,0,9,2006,170000,2490.0
293,3,0,2004.0,2.0,140,0,0,0,0,0,2,2008,145000,1696.0
294,4,1,1975.0,2.0,0,27,0,0,0,0,8,2009,123000,2112.0
295,6,1,1996.0,2.0,307,0,0,0,0,0,11,2008,173000,2582.0
296,5,0,2005.0,2.0,106,0,0,0,0,0,5,2010,105900,1344.0
297,5,0,1973.0,1.0,120,101,0,0,0,0,11,2009,91000,1450.0
298,7,1,1949.0,1.0,0,0,81,0,0,0,10,2009,158000,2590.0
299,7,0,2004.0,2.0,187,56,0,0,0,0,4,2009,190000,2592.0
300,4,1,1995.0,2.0,172,24,0,0,0,0,8,2008,217500,2469.0
301,7,0,1958.0,1.0,0,0,0,0,0,0,1,2008,165500,3106.0
302,7,1,1941.0,1.0,0,0,0,0,0,0,7,2009,174500,2268.0
303,6,0,1954.0,1.0,0,0,0,0,0,0,11,2008,100000,1620.0
304,6,0,1958.0,1.0,393,36,0,0,0,12500,6,2010,172000,2658.0
305,5,0,1975.0,2.0,0,80,0,0,0,0,9,2007,120000,1743.0
306,4,0,1950.0,1.0,250,0,24,0,0,0,9,2009,82000,1562.0
307,6,0,1953.0,2.0,0,28,0,0,0,0,10,2006,127000,2096.0
308,8,1,1950.0,2.0,0,0,259,0,0,0,4,2008,129500,2793.0
309,4,1,1984.0,2.0,63,0,0,0,0,0,8,2009,187500,2580.0
310,6,1,2002.0,3.0,182,35,0,0,0,0,6,2008,300000,3564.0
311,8,1,1971.0,2.0,0,66,0,0,0,0,6,2006,190000,2818.0
312,7,0,1920.0,1.0,0,0,0,0,0,0,3,2007,96000,2313.0
313,7,0,2007.0,2.0,0,168,0,0,0,0,10,2009,241000,2642.0
314,8,1,1962.0,1.0,0,30,0,0,0,0,3,2007,143900,2836.0
315,5,0,1970.0,1.0,0,0,0,0,0,0,12,2006,87550,1638.0
316,6,1,2005.0,2.0,196,82,0,0,0,0,2,2010,319900,3504.0
317,11,1,2006.0,3.0,246,39,0,0,0,0,7,2006,356383,3567.0
318,7,0,2007.0,2.0,288,136,0,0,0,0,5,2009,239000,3600.0
319,9,1,1993.0,3.0,385,99,0,0,0,0,7,2008,287500,3277.0
320,7,0,1991.0,2.0,237,0,0,0,0,0,5,2007,128500,2102.0
321,7,1,2004.0,2.0,144,48,0,0,0,0,4,2010,185088,2580.0
322,7,0,2008.0,2.0,205,126,0,0,0,0,5,2009,229800,2804.0
323,5,0,1984.0,1.0,140,0,0,0,0,0,12,2007,124500,1751.0
324,6,0,1968.0,2.0,0,0,0,0,0,0,7,2006,142000,2102.0
325,6,0,1920.0,1.0,0,0,164,0,0,0,6,2006,149000,2265.0
326,8,0,1973.0,2.0,0,211,0,0,0,0,11,2008,135000,3312.0
327,5,1,1977.0,2.0,0,205,0,0,0,0,2,2007,128000,2036.0
328,10,1,1992.0,2.0,264,75,291,0,0,0,5,2007,430000,6428.0
329,5,0,1991.0,2.0,188,0,0,0,0,0,6,2007,145000,2080.0
330,8,1,1985.0,2.0,242,0,81,0,0,0,11,2007,139000,1911.0
331,7,1,1984.0,2.0,268,112,0,0,147,0,1,2007,178000,2453.0
332,10,1,2005.0,4.0,30,200,0,0,192,0,6,2008,460000,4410.0
333,10,0,1930.0,2.0,0,60,268,0,0,0,7,2009,214500,2978.0
334,10,0,1978.7077955601446,0.0,0,0,228,0,0,0,7,2006,160000,2614.0
335,8,1,1999.0,2.0,0,0,0,168,0,0,6,2009,214000,3052.0
336,6,0,1920.0,1.0,54,0,40,0,0,0,6,2009,128900,2279.0
337,7,1,1975.0,4.0,439,0,0,0,0,0,3,2007,168000,2871.0
338,8,1,2007.0,3.0,168,127,0,0,0,0,12,2007,310013,2835.0
339,5,0,1987.0,2.0,0,74,137,0,0,0,10,2007,170000,2162.0
340,6,0,1959.0,1.0,140,0,252,0,0,0,7,2006,133700,2080.0
341,7,2,1923.0,1.0,96,0,112,0,53,0,8,2007,165000,2104.0
342,5,0,1971.0,1.0,0,0,0,0,0,0,8,2008,89500,1470.0
